title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_score,tmdb_score
Bwakaw,MOVIE,"Gruff retiree Rene rejects most human contact, but begins to soften once he comes to terms with his homosexuality.",2012,,104,"['comedy', 'drama']",['PH'],7.2,6.3
Little Baby Bum,SHOW,"Little Baby Bum is a fun and educational show for kids featuring classic and new nursery rhymes. With her friends and family, 6 year old Mia experiences the world around her through song and sometimes a bit of magic, too.",2011,TV-Y,6,"['music', 'animation', 'family']",['GB'],6.4,10
OMG: Oh My God!,MOVIE,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,2012,G,125,"['drama', 'fantasy', 'comedy']",['IN'],8.1,7.3
"Love, Now",SHOW,"Love, Now is a 72 episode Taiwanese idol romance drama television series created and developed by SETTV. It stars Annie Chen, George Hu as the main leads and Bobby Dou, Harry Chang from Taiwanese band Da Mouth and Vivi Lee as the supporting leads. The drama is set to debut on SETTV and ETTV on 31 October 2012. It ended its last episode on 5 March 2013 with 72 episodes",2012,TV-Y,45,['drama'],['TW'],7.4,6.7
Robocar Poli,SHOW,"Cartoon showing toddlers important life lessons while teaching them that police, fire, and rescue are good people and just want to help others. Cars transform during the show to be useful and help others.",2011,TV-Y,14,"['animation', 'comedy', 'family', 'fantasy']",['KR'],6,6.25
No One Killed Jessica,MOVIE,The true story of model Jessica Lall who was shot dead in a restaurant and the campaign to bring her killer to justice.,2011,PG-13,136,"['crime', 'drama', 'thriller']",['IN'],7.2,6.731
Justin Time,SHOW,Looking for adventure? Then come along as Justin and his imaginary pals Olive and Squidgy star in the biggest stories of all time. Justin’s imagination catapults him into larger-than-life adventures all around the world!,2011,TV-Y,16,"['action', 'animation', 'comedy', 'family', 'fantasy']",['CA'],5.9,6.5
No Other Woman,MOVIE,"Furniture supplier Ram is happily married to Charmaine. One day, Ram lands a big client, a new luxury resort. But he needs the help of Kara, the daughter of the owner of the resort, to finalize the deal. Kara's help, however, comes with a price, because she fancies Ram to be her lover. Not before long, Kara successfully seduces Ram, even though she knows about his marriage. When Charmaine learns of the affair, she finds ways to fight for her husband's waning attention.",2011,,104,"['drama', 'romance', 'thriller']",['PH'],6.1,3.5
Larva,SHOW,Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.,2011,TV-G,2,"['comedy', 'family', 'animation', 'thriller', 'drama', 'horror']",['KR'],7.1,7.375
Smile PreCure!,SHOW,"Candy, a fairy from Märchenland follows the shining light that leads to the five legendary PreCure warriors in order to fight Bad End Kingdom villains who are trying to vanquish the entire world to the “Worst Ending.",2012,TV-Y7,22,"['action', 'scifi', 'family', 'fantasy', 'animation', 'comedy']",['JP'],6.2,7.25
Tiger & Bunny: The Beginning,MOVIE,"Set on an alternative Earth, Superheroes are celebrities and a high rating TV show rates their achievements, awarding them points until an annual King of Heroes is crowned. Old-school hero Wild Tiger is assigned a new partner with very different views on the heroes role in society but soon a vigilante criminal presents them with a serious problem.",2012,PG,88,"['scifi', 'animation', 'action']",['JP'],6.6,6.4
Inside West Coast Customs,SHOW,"Inside the world famous ""west coast customs"" Ryan Friedlinghaus presents some of the dopest transformations on some of the dopest vehicles, with some high end clientele, Ryan and the west coast customs team don't disappoint!",2011,TV-PG,43,['reality'],['US'],7.2,8.25
The Glamorous Imperial Concubine,SHOW,"Ma Fuya is a princess of the Chu state in 10th-century imperial China during the Five Dynasties and Ten Kingdoms period. In this time of warring kingdoms and political upheaval, Fuya's uncle usurps the throne and brutally kills her father. Ma Fuya is left an orphan, and she escapes with the help of a eunuch. She also falls in love with Meng Qiyou, the Prince of Later Shu. He instead uses her as a political tool, and he brings her back into his kingdom. Many of his brothers are attracted to her, such as Meng Qixing and Meng Qiyun. Due to her resemblance as Meng Qiyun's mother, the Emperor also falls in love with her. Ma Fuya is forced to marry the Emperor, but the procession is interrupted by Liu Liancheng.",2011,TV-PG,47,"['drama', 'history', 'romance']",['CN'],6.9,7
"All's Well, Ends Well",MOVIE,Romantic comedy following four couples who meet through a dating website. Four men go on a heroic mission to help four women and wind up experiencing a series of mishaps.,2012,,118,['comedy'],['HK'],5,4.611
The In-Laws,SHOW,"The In-Laws is a Singaporean Chinese drama which was telecasted on Singapore's free-to-air channel, MediaCorp Channel 8. It made its debut on 12 April 2011 and will end on 30 May 2011. This drama serial consists of 35 episodes, and was screened on every weekday night at 9.00 pm. It is currently encoring from 1 February 2012 to 20 March 2012.

It stars the award-winning veteran Hong Kong actress Louise Lee who also acted in the locally produced Portrait of Home back in 2005.

The series title 麻婆斗妇 is a play on a spicy tofu and beef dish from Sichuan called ""Pockmarked Lady's Beancurd"".",2011,TV-14,44,"['family', 'drama']",['SG'],,
What About Dick?,MOVIE,"What About Dick? begins with the birth of a sex toy invented in Shagistan in 1898 by Deepak Rushdie Obi Ben Kingsley (Eddie Izzard), and tells the story of the subsequent decline of the British Empire as seen through the eyes of a Piano. The Piano (Eric Idle) narrates the tale of Dick (Russell Brand); his two cousins: Emma, (Jane Leeves) an emotionally retarded English girl; her kleptomaniac sister Helena (Sophie Winkleman) and their dipsomaniac Aunt Maggie (Tracey Ullman) who all live together in a large, rambling, Edwardian novel.  When the Reverend Whoopsie (Tim Curry) discovers a piano on a beach, a plot is set afoot that can be solved only by a private Dick, the incomprehensible Scottish sleuth Inspector McGuffin (Billy Connolly) who with the aid of Sergeant Ken Russell (Jim Piddock) finally reveals the identity of the Houndsditch Mutilator.",2012,G,80,['comedy'],"['US', 'GB']",,7.4
The Mistress,MOVIE,"A young woman is torn between the affections of her two lovers. One is a young bachelor who brings passion into her life. The other is a married man who has kept her as his mistress for years. Architect JD has a chip on his shoulder about his father Rico never really accepting him as his son. Seamstress Sari struggles to take care of her family. The two meet by chance, and JD aggressively pursues Saris affections. Though the two are clearly a good match, there is a problem standing in the way of their bliss: Sari is the mistress of JDs father. Against his better judgment, JD continues to court Sari even after finding out this difficult fact. He hides his true identity as Ricos son, and fights to win Saris heart.",2012,PG-13,125,"['romance', 'drama']",['PH'],6.4,5.9
The Cousins,MOVIE,الحديث عن اللعنات التي تصيب الإنسان كثيرة وغريبة وأغربها ما حدث بفيلم (بنات العم) حيث ثلاث فتيات تربطهن علاقة العمومية هن شوقية (أحمد فهمي) وشاهندا (هشام ماجد) وشيماء (شيكو) يقيمن مع جدتهن تاتا بطة (رجاء الجداوي). يتطلع... الفتيات إلى بيع القصر الذي يقيمن فيه أملا في الحصول بعض الأموال التي تساعد على تحقيق أمنياتهن ورغباتهن فيتوجهن إلى عزيز الهانش (أدوار) لشراء القصر فتحاول الجدة منعهن محذرة إياهن من اﻹصابة بلعنة كما حدث لأجدادهن، إلا ان الفتيات يرفضن العمل بالنصيحة ويصرن على بيع القصر فيصبن بلعنة غريبة، حيث يتحولن إلى رجال فيسعن إلى استرداد القصر الذي يرفض عزيز الهانش إعادته لهن.... وبين الصدمة والوعي يحاولن طوال احداث الفيلم فك تلك اللعنة والعودة إلى طبيعتهن.... فترى هل سيتمكن من ذلك؟,2012,,90,"['comedy', 'fantasy']",['EG'],6.1,5.5
The Deal,MOVIE,"A very serious and strict officer goes after a dangerous drug dealer, in an attempt to try and stop the drug and weapon dealing business in the area.",2012,,115,"['action', 'drama', 'thriller', 'crime']",['EG'],7,6.9
Sisterakas,MOVIE,A man takes revenge on his sister by hiring her as his personal assistant.,2012,,110,"['drama', 'comedy']",['PH'],5.1,4.8
Asmaa,MOVIE,A woman who suffers from AIDS decides not to surrender to the fatal disease. She exerts huge efforts in trying to recover or by helping those who suffer the same disease by giving them glimmers of hope.,2011,,96,['drama'],['EG'],8.1,8.3
19-2,SHOW,"Character-driven drama, 19-2 revolves around the day-to-day life of two  unwilling partners of the Montreal Police Department, Officers Nick  Barron and Ben Chartier. These two beat cops patrol the urban sprawl of  downtown's 19th district, in cruiser No. 2. 19-2 is about the tensions  and bonds that develop between two incompatible men of very different  temperaments and life experiences. Over time, Nick and Ben's mistrust  and antagonism for each other give way to moments of mutual respect and a  wavering chance at a true partnership. As Season 1 progresses, we also  get to know the tight-knit squad of 19. We see friendship and enmity,  loyalty and betrayal. The series delivers in portraying the  unpredictability and fragility of the world of a beat cop through  moments of life-threatening intensity to its characters, both on and off  duty, cementing 19-2 as a powerful character study and a gripping  police drama.",2011,TV-MA,43,"['action', 'crime', 'drama']",['CA'],8.6,8.7
Tom Papa: Live in New York City,MOVIE,"From the Union Square Theater in New York City, veteran comic Tom Papa discusses a variety of topics, ranging from living with the worst roommates in the world to the difficulties of keeping up with rapidly changing technology.",2011,,57,['comedy'],['US'],7.2,6.2
"Darling, Something's Wrong with Your Head",MOVIE,"“Darling, Something's Wrong with Your Head＂ a story of forbidden love, is the first fiction feature set in Gaza in over 15 years. The film is a modern re-telling of the legendary tragic romance 'Majnun Layla', which was set in seventh century Arabia, when a poet named Qays fell in love with Layla. Driven by the intensity of his passion, Qays was known as 'Majnun Layla', which translates as 'madman for Layla'. In the contemporary setting, two students in the West Bank are forced to return home to Gaza, where their love defies tradition. To reach his lover, Qays graﬃti's poetry across town.",2012,,78,"['drama', 'romance', 'war', 'european']","['US', 'AE', 'PS', 'NL']",6.7,5
Chhota Bheem & Krishna in Mayanagari,MOVIE,"Bheem and his Friends are having a great time in Dwarka with their friend Kanha.Mayandri tries to attack Kanha with some leopards but fails as Kanha fights them off with ease.Bheem gets injured and his friend Krishna offers to heal up his injury and just before the Dholakpurians leave Krishna offers some gifts to them.Bheem gets a pendant,Chutki gets a stylish ring,Raju gets a catapult and Jaggu got a compass whereas Kalia got a powder for when he blows on anyone can hear what they are thinking and Dholu and Bholu got a box in which they could ask for anything they want in food.Bheem suddenly feels it was time for everyone to go back to Dholakpur and they board their ship and bid farewell to Krishna their beloved friend.",2011,G,66,"['animation', 'action', 'fantasy']",['IN'],8.3,6.1
Toll Booth,MOVIE,"Quiet and introverted toll booth clerk Kenan's life, a humdrum routine between the Tavsancik toll booth plaza and his home, will change the day the new operations chief comes to inspect Tavsancik.",2011,,97,['drama'],['TR'],6.4,6.4
Department,MOVIE,A police inspector recruits a suspended cop for a specialized task force to battle organized crime.,2012,R,141,"['thriller', 'action', 'crime']",['IN'],3.2,6.333
Yours Fatefully,SHOW,"Yours Fatefully is a Singaporean Chinese drama which was telecasted on Singapore's free-to-air channel, MediaCorp Channel 8. It will make its debut on 29 May 2012. This drama serial consists of 20 episodes, and will be screened on every weekday night at 9:00 pm.",2012,TV-14,44,"['drama', 'romance', 'comedy']",['SG'],6.7,6
Sri Rama Rajyam,MOVIE,"Lord Sri Rama (Balakrishna) retains his wife Sita (Nayanthara) comes back to their kingdom Ayodhya, after killing Ravana. And Sri Rama will continue his charisma in ruling the kingdom after his Pattabhishekam. On one day he will hear the sweet news that Sita is pregnant. Everything looks fine, but on one day Sri Rama came to know that people in his kingdom are having discussions about Sita’s character, as she spent some time in Ravana’s place. So, Rama decides himself to leave Sita and she is sent to the forest. There she was protected by Valmiki and was given shelter in his Ashram. Later she gives birth at Ashram to twins; Lava and Kusa. Later she gives birth at Ashram to twins; Lava and Kusa. What are the incidents that happens next forms the Sri Rama Rajyam Story.",2011,,150,"['fantasy', 'drama']",['IN'],6.8,6
Material,MOVIE,"Cassim Kaif is a young Muslim man who works in his father's fabric shop in Fordsburg, Johannesburg. In the family tradition, Cassim, as the only son, is expected to take over the family business from his father.",2012,,94,"['comedy', 'drama']",['ZA'],7.1,5.6
Taxi Ballad,MOVIE,A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.,2012,,93,['drama'],"['LB', 'AE', 'US']",,
Chhota Bheem: Journey to Petra,MOVIE,Chhota Bheem embarks on an adventurous journey to Petra where he takes part in an annual sports competition and beats a dacoit named Dark Hands. He subsequently rescues two beautiful princesses.,2011,G,67,['animation'],['IN'],,
The Oath,SHOW,"The Oath is a medical drama produced by Wawa Pictures. The drama follows a Chinese physician and a Western doctor on a complex medical case.

The series premiered in Singapore on 25 October 2011, on Mediacorp Channel 8. This drama is the first Wawa Pictures drama to be broadcast on Channel 8.

This drama will be encored from 16 May 2012 at 5.30pm. It will end on 12 June 2012.",2011,TV-14,44,['drama'],['SG'],7.9,
"Chaos, Disorder",MOVIE,"Manal is the lovely young daughter of a grocer in an isolated, run-down Cairo neighborhood town bordering a garbage dump.  Both Zaki and Mounir want to marry her.  Instead of letting Manal choose, the boys challenge each other to a soccer match in which the winner will gain her hand in marriage. ",2012,,76,"['drama', 'family', 'fantasy']",['EG'],6.2,7
Stray Bullet,MOVIE,"Noha is about to marry. Her family is relieved to see her take advantage of this last chance before officially becoming a spinster just like her old sister. All is well in the brave new world and yet, this Sunday in the month of August in the year 1976 in Lebanon, two weeks before the wedding, while the same night his brother organized a dinner in his honor friendly, Noha changes her mind.",2011,,76,['drama'],['LB'],6.3,5.3
Shirdi Sai,MOVIE,"Based on the life of Indian guru Shirdi Sai Baba (Nagarjuna Akkineni), who taught love, forgiveness, charity and devotion.",2012,,142,['drama'],['IN'],6.7,3
Tango with Me,MOVIE,"""Tango With Me"" is a contemporary story about forgiveness about some of our core values as a people and our faith.",2011,,104,"['romance', 'drama', 'family']",['US'],6.3,
Coming Forth by Day,MOVIE,"One day in the life of Soad, who lives with her mother and bed-ridden father on the outskirts of Cairo.",2012,,96,['drama'],['EG'],6.6,5.7
Sleepless Nights,MOVIE,"Through the stories of Assaad Shaftari, a former high-ranking militia officer, and Maryam Saiidi, the mother of a missing communist fighter, the film digs into war wounds and poses the question of whether or not redemption and forgiveness are possible.",2012,,128,['documentation'],"['FR', 'LB', 'PS']",8.1,
Journey To Grace: The Hansie Cronje Story,MOVIE,"Hansie Cronje was at the top of his game. As a champion South African cricket player, he had earned renown and respect for himself, the sport, and his country. Then he was lured into a notorious match-fixing scandal---and he wondered, ""Can God ever forgive me?"" Based on a stunning true story of redemption and grace.",2012,,123,[],['US'],,
Dongala Mutha,MOVIE,Sudheer and Rani break down near a resort and quickly realize they are in a do or die situation.,2011,,90,"['thriller', 'action', 'crime']",['IN'],3.5,2.8
Masameer,SHOW,A popular Saudi animation show talks sarcastically about general issues in Saudi Arabia and Arab world by short stories represented by characters that imply some segments of society in Saudi and Arab community,2011,TV-MA,14,"['animation', 'comedy']",['SA'],8.2,
The Flash,SHOW,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",2014,TV-14,42,"['scifi', 'drama', 'action']",['US'],7.5,7.803
The Blacklist,SHOW,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",2013,TV-14,43,"['drama', 'crime', 'thriller']",['US'],8,7.583
Attack on Titan,SHOW,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",2013,TV-MA,23,"['horror', 'animation', 'action', 'drama', 'fantasy', 'scifi']",['JP'],9,8.6
Outlander,SHOW,"The story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.",2014,TV-MA,60,"['drama', 'scifi', 'fantasy', 'romance']",['US'],8.4,8.206
Peaky Blinders,SHOW,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013,TV-MA,58,"['drama', 'crime', 'european']",['GB'],8.8,8.546
Married at First Sight,SHOW,"The cart comes way before the horse in the reality series ""Married at First Sight."" Based on a hit Danish format, ""Married..."" features people who agree to participate in an extreme experiment: Each covenants legal marriage with a complete stranger. Specialists -- including a spiritualist, a relationship coach and a sociologist -- use scientific matchmaking methods to determine each couple, who will not have met or had contact with each other until the wedding day. The series then documents the relationships, including honeymoons and other relatable events of married life. After several weeks, each couple must decide whether to remain together or go their individual ways.",2014,TV-PG,65,"['reality', 'romance', 'european']",['US'],6.2,5.2
Prisoners,MOVIE,"Keller Dover faces a parent's worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter's life is at stake, decides that he has no choice but to take matters into his own hands.",2013,R,153,"['drama', 'thriller', 'crime']",['US'],8.1,8.076
World War Z,MOVIE,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",2013,PG-13,116,"['horror', 'thriller', 'drama', 'action', 'scifi']",['US'],7,6.802
This Is Where I Leave You,MOVIE,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways.",2014,R,103,"['comedy', 'drama']",['US'],6.6,6.56
Oblivion,MOVIE,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",2013,PG-13,124,"['action', 'scifi', 'european']",['US'],7,6.61
The Imitation Game,MOVIE,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",2014,PG-13,113,"['history', 'drama', 'thriller', 'war']","['US', 'GB']",8,8.01
The 100,SHOW,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",2014,TV-14,42,"['drama', 'action', 'scifi']",['US'],7.6,7.916
The Hunger Games: Catching Fire,MOVIE,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",2013,PG-13,146,"['action', 'scifi', 'thriller', 'drama']",['US'],7.5,7.4
Are You The One?,SHOW,"In the most ambitious dating experiment ever attempted, a group of gorgeous single women and guys are put through an extensive and scientific matchmaking process to find their Perfect Match.",2014,TV-14,42,"['reality', 'romance']",['US'],6.6,6
The Hunger Games: Mockingjay - Part 1,MOVIE,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,2014,PG-13,123,"['thriller', 'action', 'scifi']",['US'],6.6,6.799
BoJack Horseman,SHOW,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014,TV-MA,26,"['comedy', 'drama', 'animation']",['US'],8.8,8.557
2 Guns,MOVIE,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,2013,R,109,"['comedy', 'crime', 'thriller', 'action']",['US'],6.7,6.5
House of Cards,SHOW,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",2013,TV-MA,52,['drama'],['US'],8.7,8.063
Begin Again,MOVIE,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",2014,R,101,"['music', 'drama', 'romance', 'comedy']",['US'],7.4,7.3
How to Get Away with Murder,SHOW,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",2014,TV-14,43,"['drama', 'thriller', 'crime']",['US'],8.1,7.881
R.I.P.D.,MOVIE,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,2013,PG-13,96,"['comedy', 'crime', 'fantasy', 'action', 'scifi']",['US'],5.6,5.8
The Originals,SHOW,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.",2013,TV-14,43,"['scifi', 'drama', 'fantasy', 'horror']",['US'],8.3,8.605
Paddington,MOVIE,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.",2014,PG,95,"['comedy', 'animation', 'family', 'fantasy', 'european']","['FR', 'GB', 'US']",7.3,7.066
Orange Is the New Black,SHOW,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",2013,TV-MA,59,"['comedy', 'drama', 'crime']",['US'],8.1,7.704
Rush,MOVIE,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,2013,R,123,"['drama', 'action', 'sport', 'european']","['DE', 'GB', 'US']",8.1,7.706
Side Effects,MOVIE,A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,2013,R,106,"['thriller', 'drama', 'crime']",['US'],7.1,6.58
Marco Polo,SHOW,"An epic adventure that follows the early years of the famous explorer as he travels the exotic Silk Road to the great Kublai Khan’s court. But Marco soon finds that navigating the Khan’s world of greed, betrayal, sexual intrigue and rivalry will be his greatest challenge yet, even as he becomes a trusted companion to the Khan in his violent quest to become the Emperor of the World.",2014,TV-MA,55,"['action', 'drama', 'history']",['US'],8,7.343
Jane the Virgin,SHOW,"A comedy-drama following a chaste young woman who is accidentally impregnated via artificial insemination as she struggles to inform her devoutly religious family and make the right choices concerning the child. Based on the telenovela ""Juana la virgen.""",2014,TV-14,42,"['drama', 'comedy']",['US'],7.8,7.951
The Raid 2,MOVIE,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",2014,R,150,"['thriller', 'action', 'crime']","['ID', 'US']",7.9,7.6
The Hangover Part III,MOVIE,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",2013,R,100,"['comedy', 'crime']",['US'],5.8,6.216
The Interview,MOVIE,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",2014,R,112,"['comedy', 'action']",['US'],6.5,6.178
August: Osage County,MOVIE,"A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional woman who raised them.",2013,R,121,"['comedy', 'drama', 'european']",['US'],7.2,6.853
Dracula Untold,MOVIE,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula.",2014,PG-13,92,"['drama', 'horror', 'fantasy', 'war', 'action']",['US'],6.2,6.388
Madam Secretary,SHOW,"After years away from the CIA, Elizabeth McCord is pulled back into the political arena. The newly appointed Secretary of State is tough, fair, and smart, driving international diplomacy, wrangling office politics, and circumventing protocol as she negotiates global and domestic issues, both at the White House and at home.",2014,TV-14,43,"['war', 'thriller', 'drama']",['US'],7.7,6.923
The Best of Me,MOVIE,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,2014,PG-13,117,"['romance', 'drama', 'comedy']",['US'],6.6,7.5
Henry Danger,SHOW,"When 13-year-old Henry Hart lands a job as Danger, the sidekick-in-training to superhero Captain Man, he must learn to navigate a double life balancing the challenges of 8th grade with the crazy adventures of a real-life crime fighter!",2014,TV-G,24,"['comedy', 'action', 'scifi', 'drama', 'family']",['US'],5.8,8.3
Ouija,MOVIE,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,2014,PG-13,89,"['horror', 'thriller']",['US'],4.5,5.2
Barefoot,MOVIE,"The ""black sheep"" son of a wealthy family meets a young psychiatric patient who's been raised in isolation her entire life. He takes the naive young woman home for his brother's wedding an improbable romance blooms, as she impresses everyone with her genuine, simple charms.",2014,PG-13,90,"['romance', 'comedy', 'drama']",['US'],6.6,6.6
Sonic Boom,SHOW,"The speedy blue hedgehog Sonic with sidekick Tails and pals Knuckles, Amy and Sticks tries to ward off the evil plans of Dr. Eggman, who is hellbent on taking over the world. Sonic faces regular battles with Eggman's henchmen, including loyal robots Orbot and Cubot, evil interns, and giant, robotic monsters.",2014,TV-Y7,11,"['action', 'scifi', 'animation', 'comedy', 'family', 'fantasy']","['US', 'FR']",6.8,7.5
No Escape,MOVIE,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",2014,R,103,"['thriller', 'action', 'crime', 'drama']",['US'],5.8,6.911
Endless Love,MOVIE,A privileged girl and a charismatic boy's instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,2014,PG-13,103,"['drama', 'romance']",['US'],6.2,6.902
Frances Ha,MOVIE,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.",2013,R,86,"['comedy', 'drama', 'romance']","['US', 'BR']",7.4,7.4
Vampire Academy,MOVIE,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",2014,PG-13,104,"['fantasy', 'comedy', 'action', 'drama', 'horror', 'thriller']",['US'],5.4,6.347
Bad Words,MOVIE,"A misanthropic man sets out to exact revenge on his estranged father, by finding a loophole and attempting to win the National Spelling Bee as an adult. Figuring it would destroy his father, and everything he's worked so hard for as head of the Spelling Bee Championship Organization, Guy Trilby eventually discovers winning isn't necessary for revenge, and that friendship is a blessing not a curse.",2013,R,88,"['comedy', 'drama']",['US'],6.6,6.4
